UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13574878     PULS   1540 
     13574880     PULS   1528 
     13574882     PULS   1520 
     13574884     PULS   1508 
     13574886     PULS   1500 
     13574888     PULS   1493 
     13574890     PULS   1485 
     13574892     PULS   1483 
     13574894     PULS   1478 
     13574896     PULS   1475 
     13574898     PULS   1473 
     13574900     PULS   1470 
     13574902     PULS   1470 
     13574904     PULS   1470 
     13574906     PULS   1468 
     13574908     PULS   1463 
     13574910     PULS   1460 
     13574912     PULS   1458 
     13574914     PULS   1453 
     13574916     PULS   1445 
     13574918     PULS   1440 
     13574920     PULS   1438 
     13574922     PULS   1433 
     13574924     PULS   1433 
     13574926     PULS   1428 
     13574928     PULS   1425 
     13574930     PULS   1423 
     13574932     PULS   1420 
     13574934     PULS   1420 
     13574936     PULS   1418 
     13574938     PULS   1415 
     13574940     PULS   1413 
     13574942     PULS   1410 
     13574944     PULS   1408 
     13574946     PULS   1403 
     13574948     PULS   1400 
     13574950     PULS   1398 
     13574952     PULS   1395 
     13574954     PULS   1395 
     13574956     PULS   1395 
     13574958     PULS   1398 
     13574960     PULS   1400 
     13574962     PULS   1403 
     13574964     PULS   1410 
     13574966     PULS   1418 
     13574968     PULS   1420 
     13574970     PULS   1423 
     13574972     PULS   1428 
     13574974     PULS   1425 
     13574976     PULS   1425 
     13574978     PULS   1425 
     13574980     PULS   1425 
     13574982     PULS   1423 
     13574984     PULS   1423 
     13574986     PULS   1420 
     13574988     PULS   1420 
     13574990     PULS   1418 
     13574992     PULS   1418 
     13574994     PULS   1420 
     13574996     PULS   1420 
     13574998     PULS   1423 
     13575000     PULS   1428 
     13575002     PULS   1433 
     13575004     PULS   1435 
     13575006     PULS   1443 
     13575008     PULS   1445 
     13575010     PULS   1450 
     13575012     PULS   1455 
     13575014     PULS   1458 
     13575016     PULS   1460 
     13575018     PULS   1460 
     13575020     PULS   1463 
     13575022     PULS   1468 
     13575024     PULS   1473 
     13575026     PULS   1475 
     13575028     PULS   1478 
     13575030     PULS   1483 
     13575032     PULS   1483 
     13575034     PULS   1480 
     13575036     PULS   1483 
     13575038     PULS   1483 
     13575040     PULS   1485 
     13575042     PULS   1485 
     13575044     PULS   1488 
     13575046     PULS   1488 
     13575048     PULS   1490 
     13575050     PULS   1495 
     13575052     PULS   1505 
     13575054     PULS   1518 
     13575056     PULS   1540 
     13575058     PULS   1565 
     13575060     PULS   1600 
     13575062     PULS   1643 
     13575064     PULS   1693 
     13575066     PULS   1748 
     13575068     PULS   1813 
     13575070     PULS   1883 
     13575072     PULS   1955 
     13575074     PULS   2033 
     13575076     PULS   2110 
     13575078     PULS   2190 
     13575080     PULS   2273 
     13575082     PULS   2355 
     13575084     PULS   2438 
     13575086     PULS   2518 
     13575088     PULS   2595 
     13575090     PULS   2673 
     13575092     PULS   2745 
     13575094     PULS   2815 
     13575096     PULS   2878 
     13575098     PULS   2938 
     13575100     PULS   2990 
     13575102     PULS   3040 
     13575104     PULS   3083 
     13575106     PULS   3120 
     13575108     PULS   3150 
     13575110     PULS   3173 
     13575112     PULS   3190 
     13575114     PULS   3200 
     13575116     PULS   3210 
     13575118     PULS   3213 
     13575120     PULS   3213 
     13575122     PULS   3208 
     13575124     PULS   3200 
     13575126     PULS   3188 
     13575128     PULS   3175 
     13575130     PULS   3163 
     13575132     PULS   3143 
     13575134     PULS   3123 
     13575136     PULS   3103 
     13575138     PULS   3078  PULS_TRIGGER
     13575140     PULS   3053 
     13575142     PULS   3023 
     13575144     PULS   2995 
     13575146     PULS   2960 
     13575148     PULS   2928 
     13575150     PULS   2893 
     13575152     PULS   2860 
     13575154     PULS   2828 
     13575156     PULS   2795 
     13575158     PULS   2760 
     13575160     PULS   2725 
     13575162     PULS   2690 
     13575164     PULS   2653 
     13575166     PULS   2615 
     13575168     PULS   2573 
     13575170     PULS   2533 
     13575172     PULS   2493 
     13575174     PULS   2453 
     13575176     PULS   2415 
     13575178     PULS   2378 
     13575180     PULS   2348 
     13575182     PULS   2313 
     13575184     PULS   2283 
     13575186     PULS   2253 
     13575188     PULS   2225 
     13575190     PULS   2200 
     13575192     PULS   2178 
     13575194     PULS   2158 
     13575196     PULS   2140 
     13575198     PULS   2125 
     13575200     PULS   2113 
     13575202     PULS   2103 
     13575204     PULS   2095 
     13575206     PULS   2088 
     13575208     PULS   2083 
     13575210     PULS   2080 
     13575212     PULS   2080 
     13575214     PULS   2080 
     13575216     PULS   2080 
     13575218     PULS   2080 
     13575220     PULS   2083 
     13575222     PULS   2085 
     13575224     PULS   2088 
     13575226     PULS   2093 
     13575228     PULS   2095 
     13575230     PULS   2098 
     13575232     PULS   2100 
     13575234     PULS   2100 
     13575236     PULS   2100 
     13575238     PULS   2098 
     13575240     PULS   2095 
     13575242     PULS   2093 
     13575244     PULS   2085 
     13575246     PULS   2083 
     13575248     PULS   2075 
     13575250     PULS   2065 
     13575252     PULS   2055 
     13575254     PULS   2043 
     13575256     PULS   2030 
     13575258     PULS   2015 
     13575260     PULS   2005 
     13575262     PULS   1993 
     13575264     PULS   1980 
     13575266     PULS   1970 
     13575268     PULS   1958 
     13575270     PULS   1943 
     13575272     PULS   1930 
     13575274     PULS   1915 
     13575276     PULS   1898 
     13575278     PULS   1880 
     13575280     PULS   1860 
     13575282     PULS   1840 
     13575284     PULS   1820 
     13575286     PULS   1800 
     13575288     PULS   1785 
     13575290     PULS   1768 
     13575292     PULS   1753 
     13575294     PULS   1738 
     13575296     PULS   1725 
     13575298     PULS   1713 
     13575300     PULS   1698 
     13575302     PULS   1683 
     13575304     PULS   1670 
     13575306     PULS   1655 
     13575308     PULS   1640 
     13575310     PULS   1625 
     13575312     PULS   1610 
     13575314     PULS   1600 
     13575316     PULS   1590 
     13575318     PULS   1580 
     13575320     PULS   1570 
     13575322     PULS   1563 
     13575324     PULS   1558 
     13575326     PULS   1548 
     13575328     PULS   1538 
     13575330     PULS   1530 
     13575332     PULS   1520 
     13575334     PULS   1510 
     13575336     PULS   1500 
     13575338     PULS   1493 
     13575340     PULS   1485 
     13575342     PULS   1478 
     13575344     PULS   1473 
     13575346     PULS   1470 
     13575348     PULS   1465 
     13575350     PULS   1460 
     13575352     PULS   1455 
     13575354     PULS   1453 
     13575356     PULS   1448 
     13575358     PULS   1443 
     13575360     PULS   1440 
     13575362     PULS   1440 
     13575364     PULS   1440 
     13575366     PULS   1443 
     13575368     PULS   1443 
     13575370     PULS   1448 
     13575372     PULS   1445 
     13575374     PULS   1445 
     13575376     PULS   1445 
     13575378     PULS   1445 
     13575380     PULS   1445 
     13575382     PULS   1445 
     13575384     PULS   1445 
     13575386     PULS   1443 
     13575388     PULS   1443 
     13575390     PULS   1443 
     13575392     PULS   1443 
     13575394     PULS   1448 
     13575396     PULS   1453 
     13575398     PULS   1465 
     13575400     PULS   1473 
     13575402     PULS   1483 
     13575404     PULS   1493 
     13575406     PULS   1503 
     13575408     PULS   1510 
     13575410     PULS   1515 
     13575412     PULS   1520 
     13575414     PULS   1523 
     13575416     PULS   1525 
     13575418     PULS   1530 
     13575420     PULS   1533 
     13575422     PULS   1535 
     13575424     PULS   1540 
     13575426     PULS   1545 
     13575428     PULS   1548 
     13575430     PULS   1553 
     13575432     PULS   1555 
     13575434     PULS   1558 
     13575436     PULS   1558 
     13575438     PULS   1560 
     13575440     PULS   1558 
     13575442     PULS   1553 
     13575444     PULS   1548 
     13575446     PULS   1545 
     13575448     PULS   1545 
     13575450     PULS   1548 
     13575452     PULS   1555 
     13575454     PULS   1568 
     13575456     PULS   1585 
     13575458     PULS   1610 
     13575460     PULS   1643 
     13575462     PULS   1683 
     13575464     PULS   1730 
     13575466     PULS   1783 
     13575468     PULS   1840 
     13575470     PULS   1905 
     13575472     PULS   1975 
     13575476     PULS   2125 
     13575478     PULS   2208 
     13575480     PULS   2288 
     13575482     PULS   2370 
     13575484     PULS   2450 
     13575486     PULS   2528 
     13575488     PULS   2603 
     13575490     PULS   2675 
     13575492     PULS   2743 
     13575494     PULS   2805 
     13575496     PULS   2863 
     13575498     PULS   2915 
     13575500     PULS   2963 
     13575502     PULS   3008 
     13575504     PULS   3043 
     13575506     PULS   3078 
     13575508     PULS   3108 
     13575510     PULS   3130 
     13575512     PULS   3148 
     13575514     PULS   3158 
     13575516     PULS   3168 
     13575518     PULS   3175 
     13575520     PULS   3175 
     13575522     PULS   3170 
     13575524     PULS   3163 
     13575526     PULS   3150 
     13575528     PULS   3135 
     13575530     PULS   3115 
     13575532     PULS   3093 
     13575534     PULS   3068 
     13575536     PULS   3038 
     13575538     PULS   3010  PULS_TRIGGER
     13575540     PULS   2980 
     13575542     PULS   2945 
     13575544     PULS   2910 
     13575546     PULS   2873 
     13575548     PULS   2833 
     13575550     PULS   2790 
     13575552     PULS   2753 
     13575554     PULS   2713 
     13575556     PULS   2673 
     13575558     PULS   2635 
     13575560     PULS   2598 
     13575562     PULS   2563 
     13575564     PULS   2528 
     13575566     PULS   2493 
     13575568     PULS   2458 
     13575570     PULS   2428 
     13575572     PULS   2398 
     13575574     PULS   2363 
     13575576     PULS   2330 
     13575578     PULS   2300 
     13575580     PULS   2270 
     13575582     PULS   2243 
     13575584     PULS   2215 
     13575586     PULS   2193 
     13575588     PULS   2170 
     13575590     PULS   2153 
     13575592     PULS   2133 
     13575594     PULS   2118 
     13575596     PULS   2100 
     13575598     PULS   2088 
     13575600     PULS   2078 
     13575602     PULS   2073 
     13575604     PULS   2068 
     13575606     PULS   2063 
     13575608     PULS   2060 
     13575610     PULS   2058 
     13575612     PULS   2053 
     13575614     PULS   2053 
     13575616     PULS   2053 
     13575618     PULS   2053 
     13575620     PULS   2058 
     13575622     PULS   2058 
     13575624     PULS   2058 
     13575626     PULS   2058 
     13575628     PULS   2058 
     13575630     PULS   2058 
     13575632     PULS   2053 
     13575634     PULS   2050 
     13575636     PULS   2050 
     13575642     PULS   2045 
     13575644     PULS   2043 
     13575646     PULS   2040 
     13575648     PULS   2040 
     13575650     PULS   2035 
     13575652     PULS   2030 
     13575654     PULS   2025 
     13575656     PULS   2020 
