UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13577060     RESP   2396 
     13577068     RESP   2381 
     13577076     RESP   2381 
     13577084     RESP   2396 
     13577092     RESP   2410 
     13577100     RESP   2396 
     13577108     RESP   2396 
     13577116     RESP   2396 
     13577124     RESP   2410 
     13577132     RESP   2410 
     13577140     RESP   2396 
     13577148     RESP   2410 
     13577156     RESP   2410 
     13577164     RESP   2439 
     13577172     RESP   2454 
     13577180     RESP   2425 
     13577188     RESP   2396 
     13577196     RESP   2367 
     13577204     RESP   2323 
     13577212     RESP   2294 
     13577220     RESP   2309 
     13577228     RESP   2338 
     13577236     RESP   2367 
     13577244     RESP   2396 
     13577252     RESP   2381 
     13577260     RESP   2352 
     13577268     RESP   2338 
     13577276     RESP   2323 
     13577284     RESP   2323 
     13577292     RESP   2323 
     13577300     RESP   2323 
     13577308     RESP   2323 
     13577316     RESP   2323 
     13577324     RESP   2294 
     13577332     RESP   2265 
     13577340     RESP   2251 
     13577348     RESP   2236 
     13577356     RESP   2236 
     13577364     RESP   2236 
     13577372     RESP   2222 
     13577380     RESP   2222 
     13577388     RESP   2193 
     13577396     RESP   2193 
     13577404     RESP   2164 
     13577412     RESP   2091 
     13577420     RESP   2077 
     13577436     RESP   2019 
     13577444     RESP   1961 
     13577452     RESP   1888 
     13577460     RESP   1845 
     13577468     RESP   1830 
     13577476     RESP   1816 
     13577484     RESP   1830 
     13577492     RESP   1830 
     13577500     RESP   1859 
     13577508     RESP   1874 
     13577516     RESP   1874 
     13577524     RESP   1888 
     13577532     RESP   1888 
     13577540     RESP   1874 
     13577548     RESP   1888 
     13577556     RESP   1946 
     13577564     RESP   1975 
     13577572     RESP   1946 
     13577580     RESP   1917 
     13577588     RESP   1917 
     13577596     RESP   1932 
     13577604     RESP   1917 
     13577612     RESP   1932 
     13577620     RESP   1961 
     13577628     RESP   2004 
     13577644     RESP   2062 
     13577652     RESP   2077 
     13577660     RESP   2077 
     13577668     RESP   2062 
     13577676     RESP   2062 
     13577684     RESP   2062 
     13577692     RESP   2077 
     13577700     RESP   2091 
     13577708     RESP   2091 
     13577716     RESP   2091 
     13577724     RESP   2091 
     13577732     RESP   2062 
     13577740     RESP   2091 
     13577748     RESP   2106 
     13577756     RESP   2091 
     13577764     RESP   2091 
     13577772     RESP   2106 
     13577780     RESP   2091 
     13577788     RESP   2077 
     13577796     RESP   2106 
     13577804     RESP   2091 
     13577812     RESP   2077 
     13577820     RESP   2062 
     13577828     RESP   2062 
     13577836     RESP   2062 
     13577844     RESP   2033 
     13577852     RESP   1975 
     13577860     RESP   1946 
     13577868     RESP   1961 
     13577876     RESP   1961 
     13577884     RESP   1961 
     13577892     RESP   1946 
     13577900     RESP   1932 
     13577908     RESP   1946 
     13577916     RESP   1961 
     13577924     RESP   1975 
     13577932     RESP   1990 
     13577940     RESP   2004 
     13577948     RESP   2004 
     13577956     RESP   2019 
     13577972     RESP   2077 
     13577988     RESP   2004 
     13577996     RESP   1975 
     13578004     RESP   1975 
     13578012     RESP   1961 
     13578020     RESP   1946 
     13578028     RESP   1946 
     13578036     RESP   1990 
     13578044     RESP   1990 
     13578052     RESP   1990 
     13578060     RESP   1990 
     13578068     RESP   2004 
     13578076     RESP   2004 
     13578084     RESP   2004 
     13578092     RESP   2019 
     13578100     RESP   2033 
     13578108     RESP   2019 
     13578124     RESP   2062 
     13578132     RESP   2062 
     13578140     RESP   2077 
     13578148     RESP   2106 
     13578156     RESP   2077 
     13578164     RESP   2091 
     13578172     RESP   2091 
     13578180     RESP   2106 
     13578188     RESP   2120 
     13578196     RESP   2120 
     13578204     RESP   2135 
     13578212     RESP   2135 
     13578220     RESP   2120 
     13578228     RESP   2120 
     13578236     RESP   2120 
     13578244     RESP   2120 
     13578252     RESP   2106 
     13578260     RESP   2062 
     13578276     RESP   2062 
     13578284     RESP   2077 
     13578292     RESP   2062 
     13578300     RESP   2004 
     13578308     RESP   1990 
     13578316     RESP   2004 
     13578324     RESP   2033 
     13578332     RESP   2033 
     13578340     RESP   2033 
     13578348     RESP   2019 
     13578356     RESP   2033 
     13578364     RESP   2062 
     13578372     RESP   2077 
     13578380     RESP   2077 
     13578388     RESP   2106 
     13578396     RESP   2091 
     13578404     RESP   2106 
     13578412     RESP   2149 
     13578420     RESP   2164  PULS_TRIGGER
     13578428     RESP   2135 
     13578436     RESP   2120 
     13578444     RESP   2091 
     13578452     RESP   2077 
     13578460     RESP   2062 
     13578468     RESP   2077 
     13578476     RESP   2077 
     13578484     RESP   2106 
     13578492     RESP   2120 
     13578500     RESP   2106 
     13578508     RESP   2106 
     13578516     RESP   2091 
     13578524     RESP   2106 
     13578532     RESP   2120 
     13578540     RESP   2120 
     13578548     RESP   2149 
     13578556     RESP   2149 
     13578564     RESP   2149 
     13578572     RESP   2164 
     13578580     RESP   2164 
     13578588     RESP   2164 
     13578596     RESP   2178 
     13578604     RESP   2164 
     13578612     RESP   2149 
     13578620     RESP   2164 
     13578628     RESP   2164 
     13578636     RESP   2164 
     13578644     RESP   2164 
     13578652     RESP   2164 
     13578660     RESP   2178 
     13578668     RESP   2164 
     13578676     RESP   2149 
     13578684     RESP   2135 
     13578692     RESP   2149 
     13578700     RESP   2135 
     13578708     RESP   2120 
     13578716     RESP   2120 
     13578724     RESP   2120 
     13578732     RESP   2120 
     13578740     RESP   2178 
     13578748     RESP   2193 
     13578756     RESP   2164 
     13578764     RESP   2135 
     13578772     RESP   2106 
     13578780     RESP   2106 
     13578788     RESP   2120 
     13578796     RESP   2135 
     13578804     RESP   2120 
     13578812     RESP   2149 
     13578820     RESP   2149 
     13578828     RESP   2178 
     13578836     RESP   2178 
     13578844     RESP   2207 
     13578852     RESP   2236 
     13578860     RESP   2236 
     13578868     RESP   2265 
     13578876     RESP   2309 
     13578884     RESP   2338 
     13578892     RESP   2338 
     13578900     RESP   2338 
     13578908     RESP   2309 
     13578916     RESP   2323 
     13578924     RESP   2338 
     13578932     RESP   2338 
     13578940     RESP   2338 
     13578948     RESP   2352 
     13578956     RESP   2381 
     13578964     RESP   2396 
     13578972     RESP   2396 
     13578980     RESP   2381 
     13578988     RESP   2396 
     13578996     RESP   2396 
     13579004     RESP   2396 
     13579012     RESP   2396 
     13579020     RESP   2396 
     13579028     RESP   2396 
     13579036     RESP   2396 
     13579044     RESP   2381 
     13579052     RESP   2381 
     13579060     RESP   2381 
     13579068     RESP   2367 
     13579076     RESP   2367 
     13579084     RESP   2367 
     13579092     RESP   2352 
     13579100     RESP   2352 
     13579108     RESP   2352 
     13579116     RESP   2338 
     13579124     RESP   2338 
     13579132     RESP   2338 
     13579140     RESP   2338 
     13579148     RESP   2338 
     13579156     RESP   2309 
     13579164     RESP   2323 
     13579172     RESP   2338 
     13579180     RESP   2323 
     13579188     RESP   2309 
     13579196     RESP   2280 
     13579204     RESP   2280 
     13579212     RESP   2280 
     13579220     RESP   2265 
     13579228     RESP   2222 
     13579236     RESP   2164 
     13579244     RESP   2149 
     13579252     RESP   2149 
     13579260     RESP   2149 
     13579268     RESP   2149 
     13579276     RESP   2149 
     13579284     RESP   2149 
     13579292     RESP   2149 
     13579300     RESP   2164 
     13579308     RESP   2178 
     13579316     RESP   2193 
     13579324     RESP   2207 
     13579332     RESP   2222 
     13579340     RESP   2236 
     13579348     RESP   2265 
     13579356     RESP   2280 
     13579364     RESP   2251 
     13579372     RESP   2236 
     13579380     RESP   2251 
     13579388     RESP   2236 
     13579396     RESP   2222 
     13579404     RESP   2222 
     13579412     RESP   2222 
     13579420     RESP   2251 
     13579428     RESP   2265 
     13579436     RESP   2280 
     13579444     RESP   2265 
     13579452     RESP   2280 
     13579460     RESP   2280 
     13579468     RESP   2280 
     13579476     RESP   2294 
     13579484     RESP   2294 
     13579492     RESP   2309 
     13579500     RESP   2309 
     13579508     RESP   2323 
     13579516     RESP   2323 
     13579524     RESP   2323 
     13579532     RESP   2338 
     13579540     RESP   2323 
     13579548     RESP   2323 
     13579556     RESP   2338 
     13579564     RESP   2338 
     13579572     RESP   2338 
     13579580     RESP   2323 
     13579588     RESP   2352 
     13579596     RESP   2338 
     13579604     RESP   2338 
     13579612     RESP   2352 
     13579620     RESP   2338 
     13579628     RESP   2352 
     13579636     RESP   2352 
     13579644     RESP   2323 
     13579652     RESP   2294 
     13579660     RESP   2309 
     13579668     RESP   2338 
     13579676     RESP   2338 
     13579684     RESP   2309 
     13579692     RESP   2280 
     13579700     RESP   2265 
     13579708     RESP   2265 
     13579716     RESP   2265 
     13579724     RESP   2265 
     13579732     RESP   2265 
     13579740     RESP   2265 
     13579748     RESP   2265 
     13579756     RESP   2280 
     13579764     RESP   2280 
     13579772     RESP   2309 
     13579780     RESP   2323 
     13579788     RESP   2338 
     13579796     RESP   2352 
     13579804     RESP   2381 
     13579812     RESP   2396 
     13579820     RESP   2381 
     13579828     RESP   2367 
     13579836     RESP   2352 
     13579844     RESP   2367 
     13579852     RESP   2338 
     13579860     RESP   2338 
     13579868     RESP   2338 
     13579876     RESP   2338 
     13579884     RESP   2367 
     13579892     RESP   2367 
     13579900     RESP   2367 
     13579908     RESP   2367 
     13579916     RESP   2352 
     13579924     RESP   2352 
     13579932     RESP   2352 
     13579940     RESP   2352 
     13579948     RESP   2367 
     13579956     RESP   2367 
     13579964     RESP   2367 
     13579972     RESP   2367 
     13579980     RESP   2367 
     13579988     RESP   2367 
     13579996     RESP   2367 
     13580004     RESP   2367 
     13580012     RESP   2367 
     13580020     RESP   2352 
     13580028     RESP   2352 
     13580036     RESP   2352 
     13580044     RESP   2367 
     13580052     RESP   2352 
     13580060     RESP   2352 
     13580068     RESP   2352 
     13580076     RESP   2338 
     13580084     RESP   2338 
     13580092     RESP   2309 
     13580100     RESP   2309 
     13580108     RESP   2323 
     13580116     RESP   2323 
     13580124     RESP   2309 
     13580132     RESP   2265 
     13580140     RESP   2251 
     13580148     RESP   2236 
     13580156     RESP   2236 
     13580164     RESP   2236 
     13580172     RESP   2251 
     13580180     RESP   2236 
     13580188     RESP   2236 
     13580196     RESP   2265 
     13580204     RESP   2265 
     13580212     RESP   2280 
