UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 300
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     1      21         13586094         13586102     1
     1      37         13586094         13586102     1
     1      53         13586094         13586102     1
     1       5         13586103         13586111     2
     1      21         13586103         13586111     2
     1      37         13586103         13586111     2
     1      53         13586103         13586111     2
     1      12         13586121         13586129     0
     1      28         13586121         13586129     0
     1      44         13586121         13586129     0
     1      60         13586121         13586129     0
     1      12         13586130         13586138     1
     1      28         13586130         13586138     1
     1      44         13586130         13586138     1
     1      60         13586130         13586138     1
     1      12         13586139         13586147     2
     1      28         13586139         13586147     2
     1      44         13586139         13586147     2
     1      60         13586139         13586147     2
     1       3         13586157         13586165     0
     1      19         13586157         13586165     0
     1      35         13586157         13586165     0
     1      51         13586157         13586165     0
     1       3         13586166         13586174     1
     1      19         13586166         13586174     1
     1      35         13586166         13586174     1
     1      51         13586166         13586174     1
     1       3         13586175         13586183     2
     1      19         13586175         13586183     2
     1      35         13586175         13586183     2
     1      51         13586175         13586183     2
     1      10         13586193         13586201     0
     1      26         13586193         13586201     0
     1      42         13586193         13586201     0
     1      58         13586193         13586201     0
     1      10         13586202         13586210     1
     1      26         13586202         13586210     1
     1      42         13586202         13586210     1
     1      58         13586202         13586210     1
     1      10         13586211         13586219     2
     1      26         13586211         13586219     2
     1      42         13586211         13586219     2
     1      58         13586211         13586219     2
     1       1         13586229         13586237     0
     1      17         13586229         13586237     0
     1      33         13586229         13586237     0
     1      49         13586229         13586237     0
     1       1         13586238         13586246     1
     1      17         13586238         13586246     1
     1      33         13586238         13586246     1
     1      49         13586238         13586246     1
     1       1         13586247         13586255     2
     1      17         13586247         13586255     2
     1      33         13586247         13586255     2
     1      49         13586247         13586255     2
     1       8         13586265         13586274     0
     1      24         13586265         13586274     0
     1      40         13586265         13586274     0
     1      56         13586265         13586274     0
     1       8         13586274         13586282     1
     1      24         13586274         13586282     1
     1      40         13586274         13586282     1
     1      56         13586274         13586282     1
     1       8         13586283         13586291     2
     1      24         13586283         13586291     2
     1      40         13586283         13586291     2
     1      56         13586283         13586291     2
     1      15         13586301         13586310     0
     1      31         13586301         13586310     0
     1      47         13586301         13586310     0
     1      63         13586301         13586310     0
     1      15         13586310         13586318     1
     1      31         13586310         13586318     1
     1      47         13586310         13586318     1
     1      63         13586310         13586318     1
     1      15         13586319         13586327     2
     1      31         13586319         13586327     2
     1      47         13586319         13586327     2
     1      63         13586319         13586327     2
     1       6         13586337         13586346     0
     1      22         13586337         13586346     0
     1      38         13586337         13586346     0
     1      54         13586337         13586346     0
     1       6         13586346         13586354     1
     1      22         13586346         13586354     1
     1      38         13586346         13586354     1
     1      54         13586346         13586354     1
     1       6         13586355         13586363     2
     1      22         13586355         13586363     2
     1      38         13586355         13586363     2
     1      54         13586355         13586363     2
     1      13         13586374         13586382     0
     1      29         13586374         13586382     0
     1      45         13586374         13586382     0
     1      61         13586374         13586382     0
     1      13         13586382         13586391     1
     1      29         13586382         13586391     1
     1      45         13586382         13586391     1
     1      61         13586382         13586391     1
     1      13         13586391         13586399     2
     1      29         13586391         13586399     2
     1      45         13586391         13586399     2
     1      61         13586391         13586399     2
     1       4         13586410         13586418     0
     1      20         13586410         13586418     0
     1      36         13586410         13586418     0
     1      52         13586410         13586418     0
     1       4         13586418         13586427     1
     1      20         13586418         13586427     1
     1      36         13586418         13586427     1
     1      52         13586418         13586427     1
     1       4         13586427         13586435     2
     1      20         13586427         13586435     2
     1      36         13586427         13586435     2
     1      52         13586427         13586435     2
     1      11         13586446         13586454     0
     1      27         13586446         13586454     0
     1      43         13586446         13586454     0
     1      59         13586446         13586454     0
     1      11         13586454         13586463     1
     1      27         13586454         13586463     1
     1      43         13586454         13586463     1
     1      59         13586454         13586463     1
     1      11         13586463         13586471     2
     1      27         13586463         13586471     2
     1      43         13586463         13586471     2
     1      59         13586463         13586471     2
     1       2         13586482         13586490     0
     1      18         13586482         13586490     0
     1      34         13586482         13586490     0
     1      50         13586482         13586490     0
     1       2         13586491         13586499     1
     1      18         13586491         13586499     1
     1      34         13586491         13586499     1
     1      50         13586491         13586499     1
     1       2         13586499         13586508     2
     1      18         13586499         13586508     2
     1      34         13586499         13586508     2
     1      50         13586499         13586508     2
     1       9         13586518         13586526     0
     1      25         13586518         13586526     0
     1      41         13586518         13586526     0
     1      57         13586518         13586526     0
     1       9         13586527         13586535     1
     1      25         13586527         13586535     1
     1      41         13586527         13586535     1
     1      57         13586527         13586535     1
     1       9         13586535         13586544     2
     1      25         13586535         13586544     2
     1      41         13586535         13586544     2
     1      57         13586535         13586544     2
     2       0         13586562         13586570     0
     2      16         13586562         13586570     0
     2      32         13586562         13586570     0
     2      48         13586562         13586570     0
     2       0         13586571         13586579     1
     2      16         13586571         13586579     1
     2      32         13586571         13586579     1
     2      48         13586571         13586579     1
     2       0         13586580         13586588     2
     2      16         13586580         13586588     2
     2      32         13586580         13586588     2
     2      48         13586580         13586588     2
     2       7         13586598         13586606     0
     2      23         13586598         13586606     0
     2      39         13586598         13586606     0
     2      55         13586598         13586606     0
     2       7         13586607         13586615     1
     2      23         13586607         13586615     1
     2      39         13586607         13586615     1
     2      55         13586607         13586615     1
     2       7         13586616         13586624     2
     2      23         13586616         13586624     2
     2      39         13586616         13586624     2
     2      55         13586616         13586624     2
     2      14         13586634         13586642     0
     2      30         13586634         13586642     0
     2      46         13586634         13586642     0
     2      62         13586634         13586642     0
     2      14         13586643         13586651     1
     2      30         13586643         13586651     1
     2      46         13586643         13586651     1
     2      62         13586643         13586651     1
     2      14         13586652         13586660     2
     2      30         13586652         13586660     2
     2      46         13586652         13586660     2
     2      62         13586652         13586660     2
     2       5         13586670         13586678     0
     2      21         13586670         13586678     0
     2      37         13586670         13586678     0
     2      53         13586670         13586678     0
     2       5         13586679         13586687     1
     2      21         13586679         13586687     1
     2      37         13586679         13586687     1
     2      53         13586679         13586687     1
     2       5         13586688         13586696     2
     2      21         13586688         13586696     2
     2      37         13586688         13586696     2
     2      53         13586688         13586696     2
     2      12         13586706         13586714     0
     2      28         13586706         13586714     0
     2      44         13586706         13586714     0
     2      60         13586706         13586714     0
     2      12         13586715         13586723     1
     2      28         13586715         13586723     1
     2      44         13586715         13586723     1
     2      60         13586715         13586723     1
     2      12         13586724         13586732     2
     2      28         13586724         13586732     2
     2      44         13586724         13586732     2
     2      60         13586724         13586732     2
     2       3         13586742         13586750     0
     2      19         13586742         13586750     0
     2      35         13586742         13586750     0
     2      51         13586742         13586750     0
     2       3         13586751         13586759     1
     2      19         13586751         13586759     1
     2      35         13586751         13586759     1
     2      51         13586751         13586759     1
     2       3         13586760         13586768     2
     2      19         13586760         13586768     2
     2      35         13586760         13586768     2
     2      51         13586760         13586768     2
     2      10         13586778         13586786     0
     2      26         13586778         13586786     0
     2      42         13586778         13586786     0
     2      58         13586778         13586786     0
     2      10         13586787         13586795     1
     2      26         13586787         13586795     1
     2      42         13586787         13586795     1
     2      58         13586787         13586795     1
     2      10         13586796         13586804     2
     2      26         13586796         13586804     2
     2      42         13586796         13586804     2
     2      58         13586796         13586804     2
     2       1         13586814         13586822     0
     2      17         13586814         13586822     0
     2      33         13586814         13586822     0
     2      49         13586814         13586822     0
     2       1         13586823         13586831     1
     2      17         13586823         13586831     1
     2      33         13586823         13586831     1
     2      49         13586823         13586831     1
     2       1         13586832         13586840     2
     2      17         13586832         13586840     2
     2      33         13586832         13586840     2
     2      49         13586832         13586840     2
     2       8         13586850         13586858     0
     2      24         13586850         13586858     0
     2      40         13586850         13586858     0
     2      56         13586850         13586858     0
     2       8         13586859         13586867     1
     2      24         13586859         13586867     1
     2      40         13586859         13586867     1
     2      56         13586859         13586867     1
     2       8         13586868         13586876     2
     2      24         13586868         13586876     2
     2      40         13586868         13586876     2
     2      56         13586868         13586876     2
     2      15         13586886         13586894     0
     2      31         13586886         13586894     0
     2      47         13586886         13586894     0
     2      63         13586886         13586894     0
     2      15         13586895         13586903     1
     2      31         13586895         13586903     1
     2      47         13586895         13586903     1
     2      63         13586895         13586903     1
     2      15         13586904         13586912     2
     2      31         13586904         13586912     2
     2      47         13586904         13586912     2
     2      63         13586904         13586912     2
     2       6         13586922         13586930     0
     2      22         13586922         13586930     0
     2      38         13586922         13586930     0
     2      54         13586922         13586930     0
     2       6         13586931         13586939     1
     2      22         13586931         13586939     1
     2      38         13586931         13586939     1
     2      54         13586931         13586939     1
     2       6         13586940         13586948     2
     2      22         13586940         13586948     2
     2      38         13586940         13586948     2
     2      54         13586940         13586948     2
